hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
20% Off - Sea View - Comfortable Stay at Queens,Room in boutique hotel,2,4.81,Southern Province,Galle District,"Galle, Unawatuna",Sea-view relaxation; Sunrise and sunset watching over the sea; Scenic viewpoint photography; Sunrise and sunset watching from the property; Guided fort and city wall tours; Photography of colonial architecture; Swimming in the sea; Sunset watching over the sea; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,beach | tropical | ocean,https://images.pexels.com/photos/23696830/pexels-photo-23696830.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$130,Beach Access; Ocean View; Restaurant On-site; Air Conditioning; Free WiFi,"Steps from the golden sands of Galle, 20% Off - Sea View - Comfortable Stay at Queens is a breezy boutique room haven where ocean breezes and Hikkaduwa Beach are right at your doorstep.",6.050826,80.196603
3-Bedroom Villa with One Bathroom and Kitchen,Entire villa,4,4.8,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/1320679/pexels-photo-1320679.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$295,Beach Access; Ocean View; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Your private slice of paradise awaits at 3-Bedroom Villa with One Bathroom and Kitchen — an expansive villa in Galle boasting Beach Access, Ocean View, and sweeping villa-style views.",6.091166,80.236029
Eco Space Holiday Bungalow,Entire bungalow,4,4.96,Uva Province,Badulla District,"Deniyaya, Habarana, Ella",Spa treatments and massages; Body scrubs and wellness therapies; Relaxation sessions; Eco-friendly nature walks; Sustainable living experience; Guided eco tours; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Nine Arch Bridge Ella (Historic Sites); Dambatenne Tea Factory (Farms); Lipton Seat Viewpoint (Farms); Ravana Ella Falls (Waterfalls); Little Adam's Peak Ella (Viewpoints); Ella Rock (Viewpoints),Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography; Eco tours and nature walks; Butterfly and insect observation; Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography; Guided eco tours; Camping inside the park; Temple and shrine visits,jungle | tropical | forest,https://images.pexels.com/photos/7614555/pexels-photo-7614555.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$121,Full Kitchen; Free Parking; Air Conditioning; Free WiFi,Eco Space Holiday Bungalow is a comfortable bungalow retreat in Deniyaya — a perfect base for exploring Nine Arch Bridge Ella with the comfort of Full Kitchen and Free Parking.,6.957445,81.017397
Dreamtime Watta Room + Pool,Private room in bed and breakfast,2,4.8,Western Province,Gampaha District,Negombo,Swimming in the hotel pool; Poolside relaxation and sunbathing; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Negombo Beach (Beaches); Negombo Fish Market (Town & Heritage); Henarathgoda Botanical Garden (Gardens); Muthurajawela Wetland Reserve (Nature & Wildlife Areas); Marawila Beach (Beaches); Kolomba Kataragama Devalaya (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast,pool | villa | tropical,https://images.pexels.com/photos/8050495/pexels-photo-8050495.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$53,Swimming Pool; Beach Access; Breakfast Included; Air Conditioning; Free WiFi,"Unwind in your private tropical retreat at Dreamtime Watta Room + Pool, where a sparkling pool meets lush resort-style surroundings in the heart of Negombo.",7.094173,79.968359
"Ruby’s Belle Maison - Modern, Luxurious",Entire home,4,Not rated,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/14357627/pexels-photo-14357627.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$111,Beach Access; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Ruby’s Belle Maison - Modern, Luxurious is a comfortable home retreat in Colombo — a perfect base for exploring Mount Lavinia Beach with the comfort of Beach Access and Full Kitchen.",6.963,79.851294
Namal- Family Room,Entire place,4,Not rated,Central Province,Nuwara Eliya District,Nuwara Eliya,Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Day visit to nearby botanical gardens; Photography walk through scenic gardens; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Horton Plains National Park (National Parks); Hakgala Botanic Gardens (Gardens); Victoria Park Nuwara Eliya (Gardens); Pedro Tea Factory (Farms); Bluefield Tea Gardens (Farms); Ambewela Farms (Farms),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers,hillside | green | scenic,https://images.pexels.com/photos/14521058/pexels-photo-14521058.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$77,Mountain View; Free WiFi,"Discover genuine Sri Lankan warmth at Namal- Family Room, a welcoming entire place in Nuwara Eliya offering Mountain View, Free WiFi, and easy access to Horton Plains National Park.",6.9854,80.830814
Greenfield Villa,Entire home,8,4.77,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/14036438/pexels-photo-14036438.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$159,Beach Access; Spa & Wellness; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Greenfield Villa redefines luxury in Colombo, pairing a refined ambience with Beach Access, Spa & Wellness, and seamless access to Mount Lavinia Beach.",6.889998,79.847873
#10 Min walk to Train - Modern Comfy Room#,Room in boutique hotel,2,3.5,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,boutique | hotel | elegant,https://images.pexels.com/photos/9259539/pexels-photo-9259539.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$134,Beach Access; Spa & Wellness; Restaurant On-site; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at #10 Min walk to Train - Modern Comfy Room#, a welcoming boutique room in Galle offering Beach Access, Spa & Wellness, and easy access to Hikkaduwa Beach.",6.087984,80.266204
95 Cinnamon Lodge,Entire home,8,4.98,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/3680912/pexels-photo-3680912.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$114,Beach Access; Breakfast Included; Full Kitchen; Restaurant On-site; Family Friendly; Free Parking,"Enjoy an authentic stay at 95 Cinnamon Lodge, a well-appointed home in Colombo with Beach Access and a short distance from Mount Lavinia Beach.",6.914468,79.87942
Sea & Greens Apartments,Entire rental unit,4,4.76,Western Province,Colombo District,Colombo,Swimming in the sea; Sea-view relaxation; Sunset watching over the sea; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/29789525/pexels-photo-29789525.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$88,Beach Access; Full Kitchen; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at Sea & Greens Apartments, a welcoming apartment in Colombo offering Beach Access, Full Kitchen, and easy access to Mount Lavinia Beach.",6.927694,79.837483
